"id","borough","location","name","open_year_round","created_at","updated_at","latitude","longitude"
668,"Brooklyn","Flushing & Bushwick Avenue between Garden & Beaver","Bushwick Playground & Pool","Yes","2018-07-03 15:38:40.415779","2018-07-03 15:38:40.415779",40.70164219999999,-73.9393668
669,"Queens","121 Avenue & 220 Street","Cabbell Park/Cambria Playground","Yes","2018-07-03 15:38:40.436984","2018-07-03 15:38:40.436984",40.688052,-73.74277599999999
670,"Brooklyn","Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets","Cadman Plaza & Brooklyn War Memorial","Yes","2018-07-03 15:38:40.457515","2018-07-03 15:38:40.457515",40.6976723,-73.9906433
671,"Brooklyn","Hope Street & Metropolitan Avenue","Campiz Playground","Yes","2018-07-03 15:38:40.478712","2018-07-03 15:38:40.478712",40.7134801,-73.957331
672,"Brooklyn","Paerdegat Avenue, Seaview Avenue, East 93rd Street, Skidmore Avenue","Canarsie Park","Yes","2018-07-03 15:38:40.500825","2018-07-03 15:38:40.500825",40.6264185,-73.90077889999999
674,"Queens","Highland Avenue, Upland Parkway, Gothic Parkway, 85 Avenue","Capt. Tilly Park","Yes","2018-07-03 15:38:40.558532","2018-07-03 15:38:40.558532",40.7110355,-73.7976367
675,"Queens","Kissena Boulevard & Booth Memorial Avenue","Captain Mario Fajardo Park","Yes","2018-07-03 15:38:41.030635","2018-07-03 15:38:41.030635",40.7429665,-73.8143118
676,"Manhattan","East 84 Street & East End Avenue","Carl Schurz Park","Yes","2018-07-03 15:38:41.813504","2018-07-03 15:38:41.813504",40.777504,-73.9549428
677,"Manhattan","Stone Wall to East River, East 84 to East 90 streets","Carl Schurz Promenade","Yes","2018-07-03 15:38:42.676029","2018-07-03 15:38:42.676029",40.777504,-73.9549428
678,"Manhattan","Amsterdam Avenue, West 151 to West 152 streets","Carmansville Playground","Yes","2018-07-03 15:38:43.566613","2018-07-03 15:38:43.566613",40.8290247,-73.9448489
679,"Brooklyn","Court & Smith Streets","Carroll Park","Yes","2018-07-03 15:38:43.58686","2018-07-03 15:38:43.58686",40.6896429,-73.9887952
680,"Brooklyn","Ralph Avenue & Sumpter Street","Carver Playground","No","2018-07-03 15:38:43.607234","2018-07-03 15:38:43.607234",40.6797449,-73.9221197
681,"Bronx","St. Raymond Avenue, Puroy Street","Caserta Playground","Yes","2018-07-03 15:38:43.626486","2018-07-03 15:38:43.626486",40.8376796,-73.85350729999999
682,"Bronx","Parker Street, Castle Hill Avenue, Puroy Street","Castle Hill Playground","Yes","2018-07-03 15:38:44.194636","2018-07-03 15:38:44.194636",40.8398457,-73.8528789
683,"Queens","Little Neck Parkway & 72 Avenue","Castlewood Playground (PS 186)","Yes","2018-07-03 15:38:44.716228","2018-07-03 15:38:44.716228",40.7503995,-73.72034409999999
684,"Bronx","Caldwell Avenue, East 163 Street, East 161 Street","Cauldwell Playground","Yes","2018-07-03 15:38:44.736938","2018-07-03 15:38:44.736938",40.8284995,-73.9214277
685,"Bronx","East Gun Hill Road, Eastchest Road, & O'Neil Place","Cavanaugh Triangle (Angelo Campanero Playground)","Yes","2018-07-03 15:38:45.328068","2018-07-03 15:38:45.328068",40.8684661,-73.8423973
686,"Bronx","West 179 Street, West Burnside Avenue, Major Deegan Expressway, Sedgewick Avenue","Cedar Playground","Yes","2018-07-03 15:38:45.355454","2018-07-03 15:38:45.355454",40.8548224,-73.911186
687,"Manhattan","85 ST & 5TH AVE","Central Park (Ancient Playground)",,"2018-07-03 15:38:45.376586","2018-07-03 15:38:45.376586",40.7808552,-73.9609158
688,"Manhattan","5th Avenue from 60th Street to 65th Street","Central Park (Arsenal)","Yes","2018-07-03 15:38:45.945124","2018-07-03 15:38:45.945124",40.7631737,-73.9708939
689,"Manhattan",,"Central Park (Bethesda Terrace)",,"2018-07-03 15:38:45.967152","2018-07-03 15:38:45.967152",40.7830603,-73.9712488
690,"Manhattan","5th Avenue, 103rd Street to 106th Street","Central Park (Conservatory Garden)","Yes","2018-07-03 15:38:45.994393","2018-07-03 15:38:45.994393",40.792494,-73.951909
693,"Manhattan","74th Street near Fifth Avenue","Central Park (Kerbs Boathouse)","Yes","2018-07-03 15:38:46.96922","2018-07-03 15:38:46.96922",40.770436,-73.95740099999999
694,"Manhattan","Central Park at 107th Street","Central Park (Lasker)","Yes","2018-07-03 15:38:47.583747","2018-07-03 15:38:47.583747",40.7987267,-73.95954580000001
695,"Manhattan","East Side between 74th and 75th streets","Central Park (Loeb Boathouse)","Yes","2018-07-03 15:38:47.605307","2018-07-03 15:38:47.605307",40.7712245,-73.9580608
697,"Manhattan","Central Park","Central Park (Ramble)",,"2018-07-03 15:38:48.198223","2018-07-03 15:38:48.198223",40.7828647,-73.9653551
698,"Manhattan","Mid-park at 69th Street","Central Park (Sheep Meadow, Mineral Springs)","No","2018-07-03 15:38:49.01808","2018-07-03 15:38:49.01808",40.7691272,-73.9651416
699,"Manhattan","93d Street near the West Drive","Central Park (Tennis Courts)","Yes","2018-07-03 15:38:49.840504","2018-07-03 15:38:49.840504",40.7940348,-73.97633909999999
700,"Manhattan","West Side from 103rd to 107th streets","Central Park (The Great Hill)","No","2018-07-03 15:38:50.451669","2018-07-03 15:38:50.451669",40.8005115,-73.962802
702,"Manhattan","West Drive, Central Park West, & 65th Street Transverse","Central Park (West 61st)","No","2018-07-03 15:38:51.063721","2018-07-03 15:38:51.063721",40.7717916,-73.9792078
703,"Manhattan","Center Drive to East Drive (including Gapstow Bridge)","Central Park (Wollman Rink)","Yes","2018-07-03 15:38:51.679663","2018-07-03 15:38:51.679663",40.7669259,-73.9738328
704,"Manhattan","Mid-Park at 80th Street","Central Park Delacorte Comfort Station","Yes","2018-07-03 15:38:51.701276","2018-07-03 15:38:51.701276",40.7730858,-73.9528703
705,"Brooklyn","Brighton Beach Avenue & West 2 Street","Century Playground","Yes","2018-07-03 15:38:51.727459","2018-07-03 15:38:51.727459",40.5771396,-73.9652133
707,"Manhattan","West 27 Street & 9 Avenue","Chelsea Park","Yes","2018-07-03 15:38:52.54544","2018-07-03 15:38:52.54544",40.7501121,-74.0011837
708,"Manhattan","South of West 25 Street, 9 to 10 avenues","Chelsea Recreation Center","Yes","2018-07-03 15:38:54.13765","2018-07-03 15:38:54.13765",40.6685763,-73.9868078
709,"Manhattan","99 to 100 streets, 3 Avenue","Cherry Tree (Washington) Playground","Yes","2018-07-03 15:38:54.960704","2018-07-03 15:38:54.960704",40.7671906,-73.96247989999999
711,"Bronx","Arthur Avenue, East 188 Street","Ciccarone Park Playground","Yes","2018-07-03 15:38:55.571729","2018-07-03 15:38:55.571729",40.8564291,-73.88681489999999
713,"Bronx","Mount Eden Parkway & Morris Avenue","Claremont Park","Yes","2018-07-03 15:38:55.631874","2018-07-03 15:38:55.631874",40.8430541,-73.90954700000002
714,"Bronx","E 170 Street & Teller Avenue","Claremont Park Playground","Yes","2018-07-03 15:38:56.39018","2018-07-03 15:38:56.39018",40.83714459999999,-73.90964439999999
717,"Queens","Clintonville Street, 17 Road & 17 Avenue","Clintonville Playground (JHS 194)","Yes","2018-07-03 15:38:57.414336","2018-07-03 15:38:57.414336",40.7829603,-73.808236
719,"Brooklyn","Ocean Parkway, Avenue P, East 3 Street","Col. David Marcus Memorial Playground","Yes","2018-07-03 15:38:58.236619","2018-07-03 15:38:58.236619",40.60944,-73.9673996
720,"Manhattan","Between Cherry & Monroe streets","Coleman Square Playground","Yes","2018-07-03 15:38:58.849185","2018-07-03 15:38:58.849185",40.7112051,-73.99365449999999
696,"Manhattan","Mid-park at 97th Street","Central Park (North Meadow Recreation Center)","Yes","2018-07-03 15:38:47.639391","2018-07-03 16:17:21.240396",40.7911833,-73.9595918
701,"Manhattan","Fifth Avenue at 82nd Street","Central Park (The Metropolitan Museum of Art)","Yes","2018-07-03 15:38:50.490461","2018-07-03 16:17:21.852271",40.7789593,-73.9623038
710,"Brooklyn","Chester Street, Sutter Avenue","Chester Playground","Yes","2018-07-03 15:38:55.044291","2018-07-03 16:17:22.470528",40.667026,-73.911018
715,"Bronx","3 Avenue, East 144 Street, East 146 Street","Clark Playground","Yes","2018-07-03 15:38:56.427486","2018-07-03 16:17:23.286",40.8137524,-73.9220586
716,"Queens","Broadway & 83 Street","Clement Clark Moore Park","Yes","2018-07-03 15:38:56.465266","2018-07-03 16:17:24.107963",40.7863976,-73.9779854
718,"Manhattan","West 144 Street & Lenox Avenue","Col. Charles Young Playground","Yes","2018-07-03 15:38:57.452199","2018-07-03 16:17:24.843882",40.81980129999999,-73.936802
706,"Queens","251 Street & 63 Avenue","Challenge Playground (PS 187) 251 Street Playground","No","2018-07-03 15:38:51.770305","2018-07-03 16:19:28.425707",40.7559921,-73.72722399999999
712,"Brooklyn","Atlantic & Fountain avenues","City Line Park","Yes","2018-07-03 15:38:55.609622","2018-07-03 16:19:29.036899",40.6801621,-73.87658809999999
721,"Queens","130th Street & 23rd Avenue","College Point Park","Yes","2018-07-03 15:38:58.884119","2018-07-03 16:19:29.856156",40.778612,-73.83886439999999
673,"Bronx","East 156 Street, Forest Avenue","Capt. Rivera Playground","Yes","2018-07-03 15:38:40.538585","2018-07-03 16:22:16.155702",40.8181562,-73.9062391
722,"Bronx","Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue","Colucci Playground","Yes","2018-07-03 15:38:59.463483","2018-07-03 15:38:59.463483",40.851854,-73.83375699999999
725,"Brooklyn","South of Flushing Avenue","Com. John Barry Park & Playground","Yes","2018-07-03 15:39:00.079185","2018-07-03 15:39:00.079185",40.7019109,-73.9369844
726,"Brooklyn","East 38 Street & Ryder Street, Avenue M","Comm. Eugene S. Sarsfield Playground","Yes","2018-07-03 15:39:00.691512","2018-07-03 15:39:00.691512",40.6205273,-73.9370026
732,"Brooklyn","West 16th Street","Coney Island Beach","No","2018-07-03 15:39:01.510378","2018-07-03 15:39:01.510378",40.5799408,-73.9843219
748,"Brooklyn","Blake & Euclid avenues","Cypress Hills Park","Yes","2018-07-03 15:39:02.74322","2018-07-03 15:39:02.74322",40.6713598,-73.8709472
727,"Brooklyn","Brighton 2nd","Coney Island",,"2018-07-03 15:39:00.730575","2018-07-03 16:17:26.361953",40.5771396,-73.9652133
728,"Brooklyn","W 27 ST.","Coney Island",,"2018-07-03 15:39:00.764434","2018-07-03 16:17:26.973384",40.5743972,-73.9930305
729,"Brooklyn","W 33 St.","Coney Island",,"2018-07-03 15:39:00.807891","2018-07-03 16:17:27.797224",40.5765475,-73.99990770000001
733,"Brooklyn","W 22 ST.","Coney Island Beach","No","2018-07-03 15:39:01.547755","2018-07-03 16:17:29.432839",40.5756351,-73.9889111
734,"Staten Island","Pittsville St,Hylan Blvd.,Surf,Richard Aves","Conference House Park",,"2018-07-03 15:39:01.584918","2018-07-03 16:17:29.844147",40.5462073,-74.1418065
735,"Brooklyn","Sharon, Olive streets, Maspeth & Morgan avenues","Cooper Park","Yes","2018-07-03 15:39:01.624647","2018-07-03 16:17:30.338668",40.7167763,-73.9363177
